modelo,alpha,gamma,epsilon_start,oponente_entrenamiento,oponente_evaluacion,episodios_eval,ganadas,perdidas,empates,porcentaje_victorias
trained_model_vs_None_1000_0.9_0.8_0.1_0.9950.001_128_1000_100,0.001,0.9,0.8,None,random,1000,742,258,0,0.742
trained_model_vs_Random_1000_0.9_0.8_0.1_0.9950.001_128_1000_100,0.001,0.9,0.8,Random,random,1000,734,266,0,0.734
trained_model_vs_Defensor_1000_0.9_0.8_0.1_0.9950.001_128_1000_100,0.001,0.9,0.8,Defensor,random,1000,481,519,0,0.481
trained_model_vs_None_1000_0.9_0.7_0.1_0.9950.001_128_1000_100,0.001,0.9,0.7,None,random,1000,780,220,0,0.78
trained_model_vs_Random_1000_0.9_0.7_0.1_0.9950.001_128_1000_100,0.001,0.9,0.7,Random,random,1000,826,174,0,0.826
trained_model_vs_Defensor_1000_0.9_0.7_0.1_0.9950.001_128_1000_100,0.001,0.9,0.7,Defensor,random,1000,786,214,0,0.786
trained_model_vs_None_1000_0.95_1.0_0.1_0.9950.001_128_1000_100,0.001,0.95,1.0,None,random,1000,821,179,0,0.821
trained_model_vs_Random_1000_0.95_1.0_0.1_0.9950.001_128_1000_100,0.001,0.95,1.0,Random,random,1000,786,214,0,0.786
trained_model_vs_Defensor_1000_0.95_1.0_0.1_0.9950.001_128_1000_100,0.001,0.95,1.0,Defensor,random,1000,666,334,0,0.666
trained_model_vs_None_1000_0.95_0.9_0.1_0.9950.001_128_1000_100,0.001,0.95,0.9,None,random,1000,779,221,0,0.779
trained_model_vs_Random_1000_0.95_0.9_0.1_0.9950.001_128_1000_100,0.001,0.95,0.9,Random,random,1000,831,169,0,0.831
trained_model_vs_Defensor_1000_0.95_0.9_0.1_0.9950.001_128_1000_100,0.001,0.95,0.9,Defensor,random,1000,734,266,0,0.734
trained_model_vs_None_1000_0.95_0.8_0.1_0.9950.001_128_1000_100,0.001,0.95,0.8,None,random,1000,776,224,0,0.776
trained_model_vs_Random_1000_0.95_0.8_0.1_0.9950.001_128_1000_100,0.001,0.95,0.8,Random,random,1000,737,263,0,0.737
trained_model_vs_Defensor_1000_0.95_0.8_0.1_0.9950.001_128_1000_100,0.001,0.95,0.8,Defensor,random,1000,726,274,0,0.726
trained_model_vs_None_1000_0.95_0.7_0.1_0.9950.001_128_1000_100,0.001,0.95,0.7,None,random,1000,746,254,0,0.746
trained_model_vs_Random_1000_0.95_0.7_0.1_0.9950.001_128_1000_100,0.001,0.95,0.7,Random,random,1000,782,218,0,0.782
trained_model_vs_Defensor_1000_0.95_0.7_0.1_0.9950.001_128_1000_100,0.001,0.95,0.7,Defensor,random,1000,768,232,0,0.768
trained_model_vs_None_1000_0.98_1.0_0.1_0.9950.001_128_1000_100,0.001,0.98,1.0,None,random,1000,691,309,0,0.691
trained_model_vs_Random_1000_0.98_1.0_0.1_0.9950.001_128_1000_100,0.001,0.98,1.0,Random,random,1000,737,263,0,0.737
trained_model_vs_Defensor_1000_0.98_1.0_0.1_0.9950.001_128_1000_100,0.001,0.98,1.0,Defensor,random,1000,760,240,0,0.76
trained_model_vs_None_1000_0.98_0.9_0.1_0.9950.001_128_1000_100,0.001,0.98,0.9,None,random,1000,657,343,0,0.657
trained_model_vs_Random_1000_0.98_0.9_0.1_0.9950.001_128_1000_100,0.001,0.98,0.9,Random,random,1000,827,173,0,0.827
trained_model_vs_Defensor_1000_0.98_0.9_0.1_0.9950.001_128_1000_100,0.001,0.98,0.9,Defensor,random,1000,710,290,0,0.71
trained_model_vs_None_1000_0.98_0.8_0.1_0.9950.001_128_1000_100,0.001,0.98,0.8,None,random,1000,793,207,0,0.793
trained_model_vs_Random_1000_0.98_0.8_0.1_0.9950.001_128_1000_100,0.001,0.98,0.8,Random,random,1000,800,200,0,0.8
trained_model_vs_Defensor_1000_0.98_0.8_0.1_0.9950.001_128_1000_100,0.001,0.98,0.8,Defensor,random,1000,849,151,0,0.849
trained_model_vs_None_1000_0.98_0.7_0.1_0.9950.001_128_1000_100,0.001,0.98,0.7,None,random,1000,686,314,0,0.686
trained_model_vs_Random_1000_0.98_0.7_0.1_0.9950.001_128_1000_100,0.001,0.98,0.7,Random,random,1000,802,198,0,0.802
trained_model_vs_Defensor_1000_0.98_0.7_0.1_0.9950.001_128_1000_100,0.001,0.98,0.7,Defensor,random,1000,814,186,0,0.814
